scenario,propulsion,L,freq,speed,Re,mu,rho
bacteria,Flagella,5e-07,44.55907535446155,5.3328111714072544e-05,2.666405585703627e-05,0.001,1000.0
bacteria,Flagella,5e-07,50.36486330526272,6.0255546398726474e-05,3.0127773199363234e-05,0.001,1000.0
bacteria,Flagella,5e-07,56.9271116058699,6.807982029266155e-05,3.4039910146330776e-05,0.001,1000.0
bacteria,Flagella,5e-07,64.34438263328994,7.691620303337614e-05,3.8458101516688065e-05,0.001,1000.0
bacteria,Flagella,5e-07,72.72808086810285,8.689455122398425e-05,4.344727561199212e-05,0.001,1000.0
bacteria,Flagella,5e-07,82.20412614574906,9.816109239128249e-05,4.908054619564124e-05,0.001,1000.0
bacteria,Flagella,5e-07,92.91484492271181,0.00011088041042477932,5.544020521238966e-05,0.001,1000.0
bacteria,Flagella,5e-07,105.0211079636667,0.00012523765076138683,6.261882538069341e-05,0.001,1000.0
bacteria,Flagella,5e-07,118.7047465568134,0.00014144096399785444,7.072048199892722e-05,0.001,1000.0
bacteria,Flagella,5e-07,134.17128354799115,0.00015972420664427955,7.986210332213977e-05,0.001,1000.0
bacteria,Flagella,5e-07,151.65302021262917,0.0001803499172455855,9.017495862279274e-05,0.001,1000.0
bacteria,Flagella,5e-07,171.41252532913143,0.00020361258493765887,0.00010180629246882944,0.001,1000.0
bacteria,Flagella,5e-07,193.74657885819826,0.00022984222549009024,0.0001149211127450451,0.001,1000.0
bacteria,Flagella,5e-07,218.9906294605915,0.000259408276814726,0.000129704138407363,0.001,1000.0
bacteria,Flagella,5e-07,247.52383280349636,0.0002927238215675688,0.0001463619107837844,0.001,1000.0
bacteria,Flagella,5e-07,279.7747463288545,0.00033025013861235134,0.00016512506930617567,0.001,1000.0
bacteria,Flagella,5e-07,316.22776601683796,0.00037250157752691503,0.00018625078876345752,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,1.0,1.1999175013651017e-06,6.843279043112178e-07,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,1.13029417474705,1.3562476709000555e-06,7.734849481719531e-07,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,1.2775649214671148,1.5329433953924415e-06,8.74256721818944e-07,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,1.4440241885954521,1.732657256918319e-06,9.881560258664475e-07,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,1.632172128563275,1.9583871188303598e-06,1.1168925791436427e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,1.8448346490995629,2.2135212392535827e-06,1.262398747483449e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,2.085205857248754,2.5018888814743972e-06,1.4268584074580996e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,2.356896033596695,2.827817691334362e-06,1.6127396694218364e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,2.6639858572587722,3.1961984913918524e-06,1.822831830428768e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,3.0110876960681163,3.612558468145239e-06,2.0602871138183026e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,3.4034148825183075,4.083143842081651e-06,2.328667816974185e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,3.8468600159578585,4.6150132414264454e-06,2.6319995635374366e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,4.348083467104511,5.2161431554847475e-06,2.974831444761188e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,4.914613414182186,5.895547017563073e-06,3.3623039339848793e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,5.5549589131838335,6.663409662815157e-06,3.8002255696193445e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,6.2787377005308915,7.531239125352618e-06,4.295159526930706e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,7.096820647674755,8.512037984181385e-06,4.854521338763219e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,8.021495037291361,9.620496741757317e-06,5.486689181739407e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,9.066649113412797,1.0873212025178445e-05,6.201128319119211e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,10.24798067736599,1.2288932741401216e-05,7.008531486187379e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,11.583232862547103,1.3888837697678487e-05,7.920977220648935e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,13.09246062927559,1.5696848620046613e-05,8.952108380973184e-06,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,14.798331982375295,1.773998296953123e-05,1.0117333361872637e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,16.726468435651757,2.0048751471085898e-05,1.1434052810010697e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,18.905829836907586,2.2657605837169037e-05,1.292191496633708e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,21.36914933341561,2.5605442788895437e-05,1.4603103115631597e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,24.15342501085948,2.893617115474409e-05,1.6502659009964372e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,27.300475589964165,3.26993495606765e-05,1.8648846551317166e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,30.85756852716052,3.6950903015515415e-05,2.1073560469154895e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,34.878129953107454,4.1753927538771726e-05,2.381278520970252e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,39.422547112067946,4.717959286920464e-05,2.6907109761886414e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,44.55907535446155,5.3308154221998e-05,3.040230467506045e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,50.36486330526272,6.023008501649965e-05,3.4349968067751727e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,56.9271116058699,6.804734345490543e-05,3.880824797326807e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,64.34438263328994,7.687478676733834e-05,4.3842648901290894e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,72.72808086810285,8.684174781333773e-05,4.952693099335195e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,82.20412614574906,9.809378949522246e-05,5.594411058663777e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,92.91484492271181,0.00011079465303281184,6.318757133934223e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,105.0211079636667,0.00012512841649329099,7.136229526714816e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,118.7047465568134,0.00014130187996790048,8.058622303921743e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,134.17128354799115,0.00015954719332178288,9.099175261667522e-05,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,151.65302021262917,0.00018012474137619737,0.00010272738470798195,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,171.41252532913143,0.00020332629955345023,0.00011595952247256243,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,193.74657885819826,0.00022947847024449433,0.0001308744313240719,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,218.9906294605915,0.00025894640625273303,0.0001476803624567983,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,247.52383280349636,0.00029213782242465186,0.0001666098407286045,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,279.7747463288545,0.00032950728980648837,0.00018792211367199034,0.001,1000.0
bacteria,Flagella,5.703124619256601e-07,316.22776601683796,0.0003715607982039235,0.00021190575357874297,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,1.0,1.1999059722507044e-06,7.805539639100366e-07,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,1.13029417474705,1.3562329398622842e-06,8.822466273829704e-07,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,1.2775649214671148,1.5329245736257552e-06,9.971867629546949e-07,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,1.4440241885954521,1.7326331354697985e-06,1.1270997004507432e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,1.632172128563275,1.958356290553322e-06,1.273935458852912e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,1.8448346490995629,2.2134818512579643e-06,1.4398978528305391e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,2.085205857248754,2.5018385580552645e-06,1.6274775263348644e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,2.356896033596695,2.8277533976739004e-06,1.8394892387895114e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,2.6639858572587722,3.1961163507846862e-06,2.0791139842759486e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,3.0110876960681163,3.6124535285761117e-06,2.3499465677980145e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,3.4034148825183075,4.083009778136781e-06,2.656049341124723e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,3.8468600159578585,4.614841973646515e-06,3.00201288988633e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,4.348083467104511,5.215924364327271e-06,3.3930245637446853e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,4.914613414182186,5.895267522841981e-06,3.83494585382643e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,5.5549589131838335,6.663052631453839e-06,4.334399747562754e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,6.2787377005308915,7.530783060049904e-06,4.898869332104915e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,7.096820647674755,8.511455432547281e-06,5.536809075178345e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,8.021495037291361,9.619752648862765e-06,6.257770388307605e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,9.066649113412797,1.0872261631313314e-05,7.072543273595351e-06,0.001,1000.0
