scenario,propulsion,L,freq,speed,Re,mu,rho
bacteria,Fin,5e-07,10.24798067736599,5.57154209954362e-14,2.7857710497718096e-14,0.001,1000.0
bacteria,Fin,5e-07,11.583232862547103,7.11800674484866e-14,3.55900337242433e-14,0.001,1000.0
bacteria,Fin,5e-07,13.09246062927559,9.093715727975993e-14,4.5468578639879965e-14,0.001,1000.0
bacteria,Fin,5e-07,14.798331982375295,1.1617812219841252e-13,5.808906109920625e-14,0.001,1000.0
bacteria,Fin,5e-07,16.726468435651757,1.4842509356237248e-13,7.421254678118623e-14,0.001,1000.0
bacteria,Fin,5e-07,18.905829836907586,1.896226930003709e-13,9.481134650018545e-14,0.001,1000.0
bacteria,Fin,5e-07,21.36914933341561,2.422553008907643e-13,1.2112765044538212e-13,0.001,1000.0
bacteria,Fin,5e-07,24.15342501085948,3.094968744564608e-13,1.547484372282304e-13,0.001,1000.0
bacteria,Fin,5e-07,27.300475589964165,3.9540235010758776e-13,1.9770117505379385e-13,0.001,1000.0
bacteria,Fin,5e-07,30.85756852716052,5.051521723603403e-13,2.5257608618017016e-13,0.001,1000.0
bacteria,Fin,5e-07,34.878129953107454,6.453646954059567e-13,3.2268234770297835e-13,0.001,1000.0
bacteria,Fin,5e-07,39.422547112067946,8.244952963965741e-13,4.12247648198287e-13,0.001,1000.0
bacteria,Fin,5e-07,44.55907535446155,1.0533462685788423e-12,5.266731342894211e-13,0.001,1000.0
bacteria,Fin,5e-07,50.36486330526272,1.3457182428749358e-12,6.728591214374678e-13,0.001,1000.0
bacteria,Fin,5e-07,56.9271116058699,1.7192424212432714e-12,8.596212106216357e-13,0.001,1000.0
bacteria,Fin,5e-07,64.34438263328994,2.196443808826186e-12,1.098221904413093e-12,0.001,1000.0
bacteria,Fin,5e-07,72.72808086810285,2.806099562044416e-12,1.403049781022208e-12,0.001,1000.0
bacteria,Fin,5e-07,82.20412614574906,3.5849743664725716e-12,1.7924871832362858e-12,0.001,1000.0
bacteria,Fin,5e-07,92.91484492271181,4.5800374947362775e-12,2.2900187473681387e-12,0.001,1000.0
bacteria,Fin,5e-07,105.0211079636667,5.851295241907271e-12,2.9256476209536356e-12,0.001,1000.0
bacteria,Fin,5e-07,118.7047465568134,7.475409545601116e-12,3.737704772800558e-12,0.001,1000.0
bacteria,Fin,5e-07,134.17128354799115,9.55032100806961e-12,4.775160504034805e-12,0.001,1000.0
bacteria,Fin,5e-07,151.65302021262917,1.2201155107043047e-11,6.100577553521523e-12,0.001,1000.0
bacteria,Fin,5e-07,171.41252532913143,1.5587767763498063e-11,7.793883881749031e-12,0.001,1000.0
bacteria,Fin,5e-07,193.74657885819826,1.991438529431291e-11,9.957192647156454e-12,0.001,1000.0
bacteria,Fin,5e-07,218.9906294605915,2.5441920077563225e-11,1.2720960038781611e-11,0.001,1000.0
bacteria,Fin,5e-07,247.52383280349636,3.250370461438801e-11,1.6251852307194005e-11,0.001,1000.0
bacteria,Fin,5e-07,279.7747463288545,4.152559281433901e-11,2.0762796407169504e-11,0.001,1000.0
bacteria,Fin,5e-07,316.22776601683796,5.305164069215273e-11,2.6525820346076366e-11,0.001,1000.0
