scenario,propulsion,L,freq,speed,Re,mu,rho
fish,Flagella,0.01,0.1,6.07186461949996e-05,0.607186461949996,0.001,1000.0
fish,Flagella,0.01,0.11138033265330273,6.581636473778753e-05,0.6581636473778752,0.001,1000.0
fish,Flagella,0.01,0.12405578501960376,7.125057377380693e-05,0.7125057377380692,0.001,1000.0
fish,Flagella,0.01,0.13817374603050078,7.703608447671375e-05,0.7703608447671376,0.001,1000.0
fish,Flagella,0.01,0.15389837796830147,8.318831090417096e-05,0.8318831090417096,0.001,1000.0
fish,Flagella,0.01,0.17141252532913134,8.97233252250131e-05,0.8972332522501311,0.001,1000.0
fish,Flagella,0.01,0.19091984092101327,9.665796761907686e-05,0.9665796761907686,0.001,1000.0
fish,Flagella,0.01,0.21264715391898104,0.00010293894958858965,1.0293894958858965,0.001,1000.0
fish,Flagella,0.01,0.2368471074127418,0.0001095818578251342,1.095818578251342,0.001,1000.0
fish,Flagella,0.01,0.263801096116037,0.0001170493822707611,1.1704938227076112,0.001,1000.0
fish,Flagella,0.01,0.2938225383971009,0.00012511194262046233,1.2511194262046232,0.001,1000.0
fish,Flagella,0.01,0.3272605206770692,0.00013370452974334756,1.3370452974334757,0.001,1000.0
fish,Flagella,0.01,0.36450385657305023,0.0001428069258338258,1.4280692583382577,0.001,1000.0
fish,Flagella,0.01,0.4059856079851809,0.0001524220577975268,1.524220577975268,0.001,1000.0
fish,Flagella,0.01,0.45218812069842806,0.00016256457871390926,1.6256457871390926,0.001,1000.0
fish,Flagella,0.01,0.5036486330526273,0.0001732468568446575,1.7324685684465753,0.001,1000.0
fish,Flagella,0.01,0.5609655228978283,0.0001844904704364496,1.8449047043644962,0.001,1000.0
fish,Flagella,0.01,0.6248052654739402,0.0001963184404683873,1.963184404683873,0.001,1000.0
fish,Flagella,0.01,0.695910183120226,0.00020875359924406745,2.0875359924406744,0.001,1000.0
fish,Flagella,0.01,0.7751070769275159,0.00022182330098831886,2.2182330098831886,0.001,1000.0
fish,Flagella,0.01,0.8633168407011585,0.00023555395625106732,2.3555395625106734,0.001,1000.0
fish,Flagella,0.01,0.9615651690249339,0.0002499758377795616,2.499758377795616,0.001,1000.0
fish,Flagella,0.01,1.0709944839382644,0.0002651198752784276,2.651198752784276,0.001,1000.0
fish,Flagella,0.01,1.1928772189089618,0.0002810180813628753,2.810180813628753,0.001,1000.0
fish,Flagella,0.01,1.3286306145662679,0.00029770469103319793,2.977046910331979,0.001,1000.0
fish,Flagella,0.01,1.4798331982375295,0.0003152155641899109,3.152155641899109,0.001,1000.0
fish,Flagella,0.01,1.64824313891097,0.0003335878958657375,3.3358789586573754,0.001,1000.0
fish,Flagella,0.01,1.8358186910542769,0.0003528617061143363,3.5286170611433634,0.001,1000.0
fish,Flagella,0.01,2.0447409650077613,0.0003730774219332058,3.730774219332058,0.001,1000.0
fish,Flagella,0.01,2.277439288723997,0.00039427835210874567,3.942783521087457,0.001,1000.0
fish,Flagella,0.01,2.536619455757801,0.000416509153532455,4.1650915353245495,0.001,1000.0
fish,Flagella,0.01,2.8252951879714354,0.000439816793159306,4.39816793159306,0.001,1000.0
fish,Flagella,0.01,3.1468231788003393,0.00046425049497593376,4.642504949759338,0.001,1000.0
fish,Flagella,0.01,3.5049421245590535,0.0004898611918201085,4.898611918201084,0.001,1000.0
fish,Flagella,0.01,3.90381619763961,0.000516702426616898,5.16702426616898,0.001,1000.0
fish,Flagella,0.01,4.348083467104513,0.000544829535127939,5.4482953512793895,0.001,1000.0
fish,Flagella,0.01,4.842909829704266,0.000574300872521948,5.74300872521948,0.001,1000.0
fish,Flagella,0.01,5.394049078424108,0.0006051769047951304,6.051769047951304,0.001,1000.0
fish,Flagella,0.01,6.007909807031181,0.000637520427484955,6.37520427484955,0.001,1000.0
fish,Flagella,0.01,6.691629928581731,0.000671397357835894,6.71397357835894,0.001,1000.0
fish,Flagella,0.01,7.453159674382296,0.0007068758896545009,7.068758896545009,0.001,1000.0
fish,Flagella,0.01,8.301354038508816,0.0007440274447198755,7.440274447198755,0.001,1000.0
fish,Flagella,0.01,9.2460757428195,0.0007829260726865167,7.829260726865166,0.001,1000.0
fish,Flagella,0.01,10.298309919728695,0.0008236489438276302,8.236489438276301,0.001,1000.0
fish,Flagella,0.01,11.470291846261892,0.0008662763554812488,8.662763554812487,0.001,1000.0
fish,Flagella,0.01,12.775649214671155,0.0009108918953268266,9.108918953268265,0.001,1000.0
fish,Flagella,0.01,14.22956059391979,0.0009575823254772597,9.575823254772597,0.001,1000.0
fish,Flagella,0.01,15.848931924611133,0.0010064380560959956,10.064380560959956,0.001,1000.0
fish,Flagella,0.01140624923851321,0.1,5.9184658893660655e-05,0.6750749704374809,0.001,1000.0
fish,Flagella,0.01140624923851321,0.11138033265330273,6.411574693235499e-05,0.7313201896238797,0.001,1000.0
fish,Flagella,0.01140624923851321,0.12405578501960376,6.93696050311325e-05,0.7912470045623172,0.001,1000.0
fish,Flagella,0.01140624923851321,0.13817374603050078,7.4960466080216e-05,0.8550177591460588,0.001,1000.0
fish,Flagella,0.01140624923851321,0.15389837796830147,8.090316475089734e-05,0.9228016613332315,0.001,1000.0
fish,Flagella,0.01140624923851321,0.17141252532913134,8.703779351300688e-05,0.9927747659796047,0.001,1000.0
fish,Flagella,0.01140624923851321,0.19091984092101327,9.294117301602795e-05,1.0601101839405933,0.001,1000.0
fish,Flagella,0.01140624923851321,0.21264715391898104,9.934059423714244e-05,1.1331035773708555,0.001,1000.0
fish,Flagella,0.01140624923851321,0.2368471074127418,0.00010629692901933818,1.2124492656831187,0.001,1000.0
fish,Flagella,0.01140624923851321,0.263801096116037,0.00011374188094816932,1.2973682429521165,0.001,1000.0
fish,Flagella,0.01140624923851321,0.2938225383971009,0.0001216547588482462,1.3876245004743164,0.001,1000.0
fish,Flagella,0.01140624923851321,0.3272605206770692,0.00013003423240555073,1.4832028643564628,0.001,1000.0
fish,Flagella,0.01140624923851321,0.36450385657305023,0.00013888648003061713,1.5841738070890066,0.001,1000.0
fish,Flagella,0.01140624923851321,0.4059856079851809,0.0001482257169964576,1.6906994716189192,0.001,1000.0
fish,Flagella,0.01140624923851321,0.45218812069842806,0.00015806983905004143,1.8029839812964408,0.001,1000.0
fish,Flagella,0.01140624923851321,0.5036486330526273,0.00016843490585082569,1.9212105166000244,0.001,1000.0
fish,Flagella,0.01140624923851321,0.5609655228978283,0.00017934297692865503,2.045630694025163,0.001,1000.0
fish,Flagella,0.01140624923851321,0.6248052654739402,0.0001908173286835385,2.1765100099917363,0.001,1000.0
fish,Flagella,0.01140624923851321,0.695910183120226,0.0002028825251766418,2.3141286483037073,0.001,1000.0
fish,Flagella,0.01140624923851321,0.7751070769275159,0.00021556302503029077,2.458765590103358,0.001,1000.0
fish,Flagella,0.01140624923851321,0.8633168407011585,0.0002288878947823498,2.610752375566069,0.001,1000.0
fish,Flagella,0.01140624923851321,0.9615651690249339,0.00024288405702075838,2.7703960904400238,0.001,1000.0
fish,Flagella,0.01140624923851321,1.0709944839382644,0.0002575838681124603,2.9380657995110373,0.001,1000.0
fish,Flagella,0.01140624923851321,1.1928772189089618,0.0002730175528518719,3.1141062543174036,0.001,1000.0
fish,Flagella,0.01140624923851321,1.3286306145662679,0.00028921927623815785,3.2989071493548296,0.001,1000.0
fish,Flagella,0.01140624923851321,1.4798331982375295,0.0003062241940304289,3.492869479973901,0.001,1000.0
