scenario,mu,propulsion,speed,Re,eff,L,freq
bacteria,0.001,Fin,4.0683393654342964e-12,2.0341696827171482e-11,0.02,5e-06,27.692307692307693
bacteria,0.001,Flagella,3.269375623486496e-05,0.0001634687811743248,1.1999071168946809,5e-06,27.692307692307693
bacteria,0.001,Fin,6.594396521827344e-12,3.297198260913672e-11,0.02,5e-06,35.256410256410255
bacteria,0.001,Flagella,4.144462731635498e-05,0.00020722313658177492,1.199879839591987,5e-06,35.256410256410255
bacteria,0.001,Fin,9.727530541970636e-12,4.8637652709853186e-11,0.02,5e-06,42.82051282051282
bacteria,0.001,Flagella,5.012217444728975e-05,0.00025061087223644877,1.199852296218646,5e-06,42.82051282051282
bacteria,0.001,Fin,1.3467741420158112e-11,6.733870710079057e-11,0.02,5e-06,50.38461538461539
bacteria,0.001,Flagella,5.872819892426179e-05,0.00029364099462130894,1.1998245721880547,5e-06,50.38461538461539
bacteria,0.001,Fin,1.781502914957801e-11,8.907514574789005e-11,0.02,5e-06,57.94871794871795
bacteria,0.001,Flagella,6.726443031821284e-05,0.0003363221515910642,1.199796726698215,5e-06,57.94871794871795
bacteria,0.001,Fin,2.2769393722312904e-11,1.1384696861156453e-10,0.02,5e-06,65.51282051282051
bacteria,0.001,Flagella,7.573253017748839e-05,0.00037866265088744197,1.199768802896355,5e-06,65.51282051282051
bacteria,0.001,Fin,2.8330835129339765e-11,1.4165417564669883e-10,0.02,5e-06,73.07692307692308
bacteria,0.001,Flagella,8.413409557357429e-05,0.00042067047786787146,1.1997408333719608,5e-06,73.07692307692308
bacteria,0.001,Fin,3.449935336052987e-11,1.7249676680264934e-10,0.02,5e-06,80.64102564102564
bacteria,0.001,Flagella,9.247066245848782e-05,0.0004623533122924392,1.1997128433969726,5e-06,80.64102564102564
bacteria,0.001,Fin,4.127494840464911e-11,2.0637474202324555e-10,0.02,5e-06,88.2051282051282
bacteria,0.001,Flagella,0.00010074370882741268,0.0005037185441370634,1.1996848529653978,5e-06,88.2051282051282
bacteria,0.001,Fin,4.865762024935718e-11,2.4328810124678593e-10,0.02,5e-06,95.76923076923077
bacteria,0.001,Flagella,0.00010895465769057007,0.0005447732884528504,1.199656878143343,5e-06,95.76923076923077
bacteria,0.001,Fin,5.66473688812088e-11,2.83236844406044e-10,0.02,5e-06,103.33333333333333
bacteria,0.001,Flagella,0.00011710487986274074,0.0005855243993137038,1.1996289319991007,5e-06,103.33333333333333
bacteria,0.001,Fin,6.524419428565251e-11,3.2622097142826254e-10,0.02,5e-06,110.8974358974359
bacteria,0.001,Flagella,0.0001251956965806836,0.0006259784829034181,1.199601025265193,5e-06,110.8974358974359
bacteria,0.001,Fin,7.444809644703217e-11,3.7224048223516084e-10,0.02,5e-06,118.46153846153845
bacteria,0.001,Flagella,0.00013322838195924366,0.0006661419097962183,1.1995731668225755,5e-06,118.46153846153845
bacteria,0.001,Fin,8.425907534858493e-11,4.2129537674292467e-10,0.02,5e-06,126.02564102564102
bacteria,0.001,Flagella,0.00014120416529678968,0.0007060208264839484,1.1995453640629705,5e-06,126.02564102564102
bacteria,0.001,Fin,9.467713097244218e-11,4.733856548622109e-10,0.02,5e-06,133.5897435897436
bacteria,0.001,Flagella,0.00014912423324028637,0.0007456211662014319,1.1995176231653537,5e-06,133.5897435897436
bacteria,0.001,Fin,1.057022632996314e-10,5.285113164981571e-10,0.02,5e-06,141.15384615384616
bacteria,0.001,Flagella,0.00015698973181965686,0.0007849486590982844,1.1994899493105164,5e-06,141.15384615384616
bacteria,0.001,Fin,1.1733447231007234e-10,5.866723615503617e-10,0.02,5e-06,148.7179487179487
bacteria,0.001,Flagella,0.00016480176836056927,0.0008240088418028465,1.1994623468500443,5e-06,148.7179487179487
bacteria,0.001,Fin,1.295737579825815e-10,6.478687899129075e-10,0.02,5e-06,156.28205128205127
bacteria,0.001,Flagella,0.0001725614132840753,0.0008628070664203765,1.1994348194411146,5e-06,156.28205128205127
bacteria,0.001,Fin,1.4242012029486619e-10,7.12100601474331e-10,0.02,5e-06,163.84615384615384
bacteria,0.001,Flagella,0.00018026970180096597,0.0009013485090048299,1.199407370155264,5e-06,163.84615384615384
bacteria,0.001,Fin,1.5587355922353165e-10,7.793677961176583e-10,0.02,5e-06,171.4102564102564
bacteria,0.001,Flagella,0.00018792763550810695,0.0009396381775405349,1.1993800015670413,5e-06,171.4102564102564
bacteria,0.001,Fin,1.6993407474407519e-10,8.496703737203759e-10,0.02,5e-06,178.97435897435898
bacteria,0.001,Flagella,0.00019553618389347112,0.0009776809194673559,1.1993527158269286,5e-06,178.97435897435898
bacteria,0.001,Fin,1.8460166683089014e-10,9.230083341544508e-10,0.02,5e-06,186.53846153846155
bacteria,0.001,Flagella,0.00020309628575607193,0.00101548142878036,1.1993255147218054,5e-06,186.53846153846155
bacteria,0.001,Fin,1.998763354572633e-10,9.993816772863165e-10,0.02,5e-06,194.1025641025641
bacteria,0.001,Flagella,0.00021060885054654407,0.0010530442527327205,1.199298399725457,5e-06,194.1025641025641
bacteria,0.001,Fin,2.1575808059537774e-10,1.0787904029768887e-09,0.02,5e-06,201.66666666666666
bacteria,0.001,Flagella,0.00021807475963364132,0.0010903737981682066,1.1992713720410462,5e-06,201.66666666666666
bacteria,0.001,Fin,2.3224690221630595e-10,1.16123451108153e-09,0.02,5e-06,209.23076923076923
bacteria,0.001,Flagella,0.00022549486750158575,0.0011274743375079288,1.1992444326370417,5e-06,209.23076923076923
bacteria,0.001,Fin,2.493428002900177e-10,1.2467140014500885e-09,0.02,5e-06,216.7948717948718
bacteria,0.001,Flagella,0.00023287000288275964,0.0011643500144137983,1.1992175822777822,5e-06,216.7948717948718
bacteria,0.001,Fin,2.67045774785381e-10,1.335228873926905e-09,0.02,5e-06,224.35897435897436
bacteria,0.001,Flagella,0.0002402009698299416,0.001201004849149708,1.199190821549602,5e-06,224.35897435897436
bacteria,0.001,Fin,2.8535582567015195e-10,1.4267791283507598e-09,0.02,5e-06,231.9230769230769
bacteria,0.001,Flagella,0.00024748854873196836,0.0012374427436598419,1.1991641508832733,5e-06,231.9230769230769
bacteria,0.001,Fin,3.04272952910988e-10,1.52136476455494e-09,0.02,5e-06,239.48717948717947
bacteria,0.001,Flagella,0.0002547334972763923,0.0012736674863819616,1.1991375705733582,5e-06,239.48717948717947
bacteria,0.001,Fin,3.237971564734302e-10,1.618985782367151e-09,0.02,5e-06,247.05128205128204
bacteria,0.001,Flagella,0.0002619365513624652,0.0013096827568123263,1.199111080794966,5e-06,247.05128205128204
bacteria,0.001,Fin,3.4392843632192393e-10,1.71964218160962e-09,0.02,5e-06,254.6153846153846
bacteria,0.001,Flagella,0.0002690984259675555,0.0013454921298377777,1.1990846816183147,5e-06,254.6153846153846
bacteria,0.001,Fin,3.646667924198061e-10,1.8233339620990306e-09,0.02,5e-06,262.1794871794872
bacteria,0.001,Flagella,0.000276219815969826,0.0013810990798491303,1.1990583730214237,5e-06,262.1794871794872
bacteria,0.001,Fin,3.860122247293069e-10,1.930061123646534e-09,0.02,5e-06,269.7435897435897
bacteria,0.001,Flagella,0.0002833013969298439,0.0014165069846492197,1.1990321549012137,5e-06,269.7435897435897
bacteria,0.001,Fin,4.079647332115492e-10,2.039823666057746e-09,0.02,5e-06,277.3076923076923
bacteria,0.001,Flagella,0.00029034382583361637,0.001451719129168082,1.1990060270832394,5e-06,277.3076923076923
bacteria,0.001,Fin,4.3052431782655496e-10,2.1526215891327754e-09,0.02,5e-06,284.87179487179486
bacteria,0.001,Flagella,0.000297347741799301,0.0014867387089965052,1.1989799893302477,5e-06,284.87179487179486
bacteria,0.001,Fin,4.536909785332392e-10,2.2684548926661963e-09,0.02,5e-06,292.4358974358974
bacteria,0.001,Flagella,0.0003043137667497808,0.0015215688337489042,1.1989540413497175,5e-06,292.4358974358974
bacteria,0.001,Fin,4.774647152894105e-10,2.3873235764470527e-09,0.02,5e-06,300.0
bacteria,0.001,Flagella,0.00031124250605306245,0.0015562125302653125,1.1989281828005205,5e-06,300.0
bacteria,10.0,Fin,1.3074861687413552e-14,6.537430843706777e-18,0.02,5e-06,5.0
bacteria,10.0,Flagella,0.005914926267649191,2.957463133824596e-06,1.1999988085995414,5e-06,5.0
bacteria,10.0,Fin,8.255816676260348e-14,4.127908338130175e-17,0.02,5e-06,12.564102564102564
bacteria,10.0,Flagella,0.014863148057169802,7.431574028584901e-06,1.1999967601357342,5e-06,12.564102564102564
bacteria,10.0,Fin,2.1188840613613168e-13,1.0594420306806585e-16,0.02,5e-06,20.128205128205128
bacteria,10.0,Flagella,0.02381136984669041,1.1905684923345206e-05,1.1999945955992593,5e-06,20.128205128205128
bacteria,10.0,Fin,4.0106557980799993e-13,2.0053278990399998e-16,0.02,5e-06,27.692307692307693
bacteria,10.0,Flagella,0.032759591636210915,1.637979581810546e-05,1.1999923584767909,5e-06,27.692307692307693
bacteria,10.0,Fin,6.500896877782068e-13,3.250448438891034e-16,0.02,5e-06,35.256410256410255
bacteria,10.0,Flagella,0.04170781342573165,2.085390671286583e-05,1.199990067696709,5e-06,35.256410256410255
bacteria,10.0,Fin,9.58960730046752e-13,4.79480365023376e-16,0.02,5e-06,42.82051282051282
bacteria,10.0,Flagella,0.050656035215252075,2.532801760762604e-05,1.1999877340774658,5e-06,42.82051282051282
