scenario,rho,mu,propulsion,speed,Re
fish,1000.0,1.096478196143185,Fin,0.0003096550531852228,0.02824087649662539
fish,1000.0,1.096478196143185,Flagella,0.01684495006919254,1.536277705151268
fish,1000.0,1.6595869074375598,Fin,0.00020458738445501022,0.012327608969324654
fish,1000.0,1.6595869074375598,Flagella,0.019966675411966485,1.2031111671515589
fish,1000.0,2.511886431509577,Fin,0.00016368070787667942,0.006516246348697846
fish,1000.0,2.511886431509577,Flagella,0.024385836841974946,0.9708176506737889
fish,1000.0,3.801893963205613,Fin,0.00013246088359453875,0.003484076222968953
fish,1000.0,3.801893963205613,Flagella,0.02796491932826495,0.735552322050718
fish,1000.0,5.754399373371567,Fin,0.00010046669960222839,0.0017459111383046713
fish,1000.0,5.754399373371567,Flagella,0.031559877140774566,0.5484478065046654
fish,1000.0,8.709635899560796,Fin,7.201254273405507e-05,0.0008268146173330446
fish,1000.0,8.709635899560796,Flagella,0.03499583306427368,0.4018059247004623
fish,1000.0,13.182567385564074,Fin,4.9642620703670343e-05,0.00037657778831483795
fish,1000.0,13.182567385564074,Flagella,0.038100051592997716,0.28901844745902994
fish,1000.0,19.952623149688797,Fin,3.347215229411259e-05,0.00016775815411837047
fish,1000.0,19.952623149688797,Flagella,0.04074061847489223,0.20418677869695376
fish,1400.0,1e-05,Fin,0.1245326083313127,1743456.5166383774
fish,1400.0,1e-05,Flagella,6.702252146300065e-07,9.383153004820091
fish,1400.0,1.5135612484362071e-05,Fin,0.1245309510964733,1151874.9684903205
fish,1400.0,1.5135612484362071e-05,Flagella,1.0143968122234543e-06,9.382874585221598
fish,1400.0,2.290867652767775e-05,Fin,0.12452844903198416,761020.9539348306
fish,1400.0,2.290867652767775e-05,Flagella,1.5352827543719384e-06,9.382453209480966
fish,1400.0,3.467368504525317e-05,Fin,0.1245247091377115,502786.45769917255
fish,1400.0,3.467368504525317e-05,Flagella,2.323586541122706e-06,9.381815498774417
fish,1400.0,5.248074602497723e-05,Fin,0.12451919479387386,332173.0080369966
fish,1400.0,5.248074602497723e-05,Flagella,3.5165287812181002e-06,9.380850438677573
fish,1400.0,7.943282347242822e-05,Fin,0.12451119831240366,219450.43625179902
fish,1400.0,7.943282347242822e-05,Flagella,5.321653137221207e-06,9.379390114082693
fish,1400.0,0.00012022644346174131,Fin,0.1244998000818564,144976.1925046589
fish,1400.0,0.00012022644346174131,Flagella,8.052750550307606e-06,9.377180631662148
fish,1400.0,0.00018197008586099826,Fin,0.124483752583089,95772.47424582193
fish,1400.0,0.00018197008586099826,Flagella,1.218398685317905e-05,9.373838295312158
fish,1400.0,0.0002754228703338166,Fin,0.12446118135319797,63264.77306815112
fish,1400.0,0.0002754228703338166,Flagella,1.843126641628139e-05,9.368783700322123
fish,1400.0,0.0004168693834703355,Fin,0.12442899178971793,41787.81062198137
fish,1400.0,0.0004168693834703355,Flagella,2.7874099220981377e-05,9.36114295190279
fish,1400.0,0.000630957344480193,Fin,0.1243819681366693,27598.498839061136
fish,1400.0,0.000630957344480193,Flagella,4.213713585123571e-05,9.34960036646057
fish,1400.0,0.0009549925860214359,Fin,0.12431173529998801,18223.851364650993
fish,1400.0,0.0009549925860214359,Flagella,6.365830887673306e-05,9.332180556365685
fish,1400.0,0.001445439770745928,Fin,0.12420583970622234,12030.12253488606
fish,1400.0,0.001445439770745928,Flagella,9.607972365357203e-05,9.305929990122337
fish,1400.0,0.002187761623949552,Fin,0.12404477844771657,7937.916449658307
fish,1400.0,0.002187761623949552,Flagella,0.00014480576409416757,9.266460637784245
fish,1400.0,0.003311311214825911,Fin,0.12379463530716349,5233.953506213719
fish,1400.0,0.003311311214825911,Flagella,0.00021777349957378126,9.207316365741319
fish,1400.0,0.005011872336272719,Fin,0.12338456775112189,3446.584095955535
