Re,Fin_eff,Flagella_eff
1e-06,0.02,1.1999996329173275
1.059406557118852e-06,0.02,1.1999996091813232
1.1223422532664174e-06,0.02,1.1999995839105213
1.18901674244199e-06,0.02,1.1999995570056796
1.2596521334671388e-06,0.02,1.1999995283611393
1.3344837298838383e-06,0.02,1.1999994978644097
1.4137608138073613e-06,0.02,1.1999994653957262
1.4977474763452002e-06,0.02,1.19999943082758
1.5867234973483177e-06,0.02,1.199999394024218
1.6809852774253655e-06,0.02,1.199999354841108
1.7808468253246812e-06,0.02,1.1999993131243734
1.8866408039732582e-06,0.02,1.199999268710187
1.9987196386572526e-06,0.02,1.1999992214241293
2.117456691035712e-06,0.02,1.1999991710805014
2.2432475028984204e-06,0.02,1.1999991174815978
2.376511113811073e-06,0.02,1.1999990604169295
2.517691457037277e-06,0.02,1.199998999662396
2.667258838387408e-06,0.02,1.1999989349794076
2.8257115029208268e-06,0.02,1.199998866113946
2.9935772947204905e-06,0.02,1.1999987927955686
3.1714154152689956e-06,0.02,1.1999987147363456
3.359818286283781e-06,0.02,1.1999986316297295
3.5594135232168622e-06,0.02,1.199998543149351
3.7708660259934516e-06,0.02,1.1999984489477382
3.99488019395417e-06,0.02,1.1999983486549508
4.23220227237928e-06,0.02,1.1999982418771282
4.483622838411906e-06,0.02,1.1999981281949426
4.7499794346614124e-06,0.02,1.1999980071619523
5.032159359259999e-06,0.02,1.1999978783028484
5.331102621667033e-06,0.02,1.1999977411115887
5.647805074067558e-06,0.02,1.1999975950494097
5.983321728796282e-06,0.02,1.1999974395427115
6.338770272838487e-06,0.02,1.1999972739808058
6.715334791115149e-06,0.02,1.199997097713516
7.114269710955731e-06,0.02,1.1999969100486256
7.536903980898542e-06,0.02,1.1999967102491598
7.984645497739079e-06,0.02,1.1999964975304906
8.4589857965743e-06,0.02,1.1999962710572565
8.96150501946605e-06,0.02,1.1999960299400818
9.49387717927582e-06,0.02,1.1999957732320838
1.0057875736205836e-05,0.02,1.199995499925155
1.0655379505623064e-05,0.02,1.1999952089460046
1.1288378916846883e-05,0.02,1.1999948991519438
1.1958982643749793e-05,0.02,1.199994569326398
1.2669424629259076e-05,0.02,1.1999942181741308
1.342207152716012e-05,0.02,1.1999938443161564
1.4219430585991676e-05,0.02,1.199993446284327
1.5064158001295942e-05,0.02,1.1999930225155657
1.595906776404731e-05,0.02,1.19999257134573
1.6907141034735783e-05,0.02,1.1999920910030768
1.7911536074332303e-05,0.02,1.199991579601306
1.8975598765218505e-05,0.02,1.199991035132154
2.0102873757128836e-05,0.02,1.1999904554575078
2.129711627523478e-05,0.02,1.1999898383010095
2.256230462970635e-05,0.02,1.199989181239119
2.3902653468423893e-05,0.02,1.1999884816915984
2.5322627816987948e-05,0.02,1.199987736911381
2.6826957952797274e-05,0.02,1.1999869439737851
2.842065516274511e-05,0.02,1.1999860997650313
3.0109028437025927e-05,0.02,1.199985200970019
3.1897702154663246e-05,0.02,1.1999842440593078
3.379263481967431e-05,0.02,1.1999832252752636
3.5800138910285804e-05,0.02,1.1999821406173055
3.792690190732254e-05,0.02,1.1999809858261998
4.018000857182091e-05,0.02,1.1999797563673396
4.256696454607867e-05,0.02,1.1999784474129433
4.509572135676145e-05,0.02,1.199977053823103
4.777470290335773e-05,0.02,1.199975570125606
5.061283352022214e-05,0.02,1.199973990494457
5.361956770568817e-05,0.02,1.1999723087270082
5.6804921617284286e-05,0.02,1.1999705182196116
6.017950643797328e-05,0.02,1.1999686119417026
6.375456372456506e-05,0.02,1.199966582408202
6.754200285605594e-05,0.02,1.1999644216501426
7.155444070664575e-05,0.02,1.1999621211833922
7.580524367559261e-05,0.02,1.1999596719753587
8.030857221391521e-05,0.02,1.1999570644095434
8.507942799627444e-05,0.02,1.1999542882478074
9.013370389517438e-05,0.02,1.1999513325901956
9.548823692395676e-05,0.02,1.1999481858321714
0.00010116086432495808,0.02,1.199944835619086
0.00010717048298967104,0.02,1.1999412687977091
0.00011353711240885178,0.02,1.1999374713646302
0.00012028196136227776,0.02,1.1999334284113268
0.00012742749857031334,0.02,1.1999291240656893
0.00013499752754264296,0.02,1.1999245414297692
0.00014301726587350879,0.02,1.1999196625135078
0.0001515134292476053,0.02,1.199914468164195
0.00016051432043647616,0.02,1.1999089379913654
0.0001700499235818792,0.02,1.1999030502868615
0.0001801520040802024,0.02,1.1998967819397284
0.0001908542144006686,0.02,1.1998901083456273
0.00020219220618983535,0.02,1.1998830033104055
