scenario,propulsion,L,freq,speed,Re,mu,rho
fish,Fin,0.01,4.842909829704266,0.008582324900993032,85.82324900993032,0.001,1000.0
fish,Fin,0.01,5.394049078424108,0.010013063395356162,100.13063395356163,0.001,1000.0
fish,Fin,0.01,6.007909807031181,0.011628816126201529,116.28816126201528,0.001,1000.0
fish,Fin,0.01,6.691629928581731,0.013454114769546317,134.5411476954632,0.001,1000.0
fish,Fin,0.01,7.453159674382296,0.015516648541637399,155.166485416374,0.001,1000.0
fish,Fin,0.01,8.301354038508816,0.017847472915731535,178.47472915731538,0.001,1000.0
fish,Fin,0.01,9.2460757428195,0.020481205581922714,204.81205581922714,0.001,1000.0
fish,Fin,0.01,10.298309919728695,0.023456274323149316,234.56274323149316,0.001,1000.0
fish,Fin,0.01,11.470291846261892,0.026815257024374862,268.1525702437486,0.001,1000.0
fish,Fin,0.01,12.775649214671155,0.030605323034405725,306.0532303440572,0.001,1000.0
fish,Fin,0.01,14.22956059391979,0.034878785420811596,348.78785420811596,0.001,1000.0
fish,Fin,0.01,15.848931924611133,0.03969377502799779,396.93775027997793,0.001,1000.0
fish,Fin,0.01140624923851321,0.1,2.314684519997883e-07,0.002640186854362417,0.001,1000.0
fish,Fin,0.01140624923851321,0.11138033265330273,2.842952377704702e-07,0.003242742339332357,0.001,1000.0
fish,Fin,0.01140624923851321,0.12405578501960376,3.484148876557392e-07,0.003974107047009941,0.001,1000.0
fish,Fin,0.01140624923851321,0.13817374603050078,4.258823416550787e-07,0.004857720135199463,0.001,1000.0
fish,Fin,0.01140624923851321,0.15389837796830147,5.189684823079628e-07,0.005919483856137557,0.001,1000.0
fish,Fin,0.01140624923851321,0.17141252532913134,6.301176941555583e-07,0.0071872794691355355,0.001,1000.0
fish,Fin,0.01140624923851321,0.19091984092101327,7.618787326848407e-07,0.008690178714525874,0.001,1000.0
fish,Fin,0.01140624923851321,0.21264715391898104,9.184503473641653e-07,0.0104760735752347,0.001,1000.0
fish,Fin,0.01140624923851321,0.2368471074127418,1.1188736410250042e-06,0.012762151615933954,0.001,1000.0
fish,Fin,0.01140624923851321,0.263801096116037,1.375219624988683e-06,0.015686097800315588,0.001,1000.0
fish,Fin,0.01140624923851321,0.2938225383971009,1.6974054815978845e-06,0.019361029981924016,0.001,1000.0
fish,Fin,0.01140624923851321,0.3272605206770692,2.0996197831033754e-06,0.02394878655219014,0.001,1000.0
fish,Fin,0.01140624923851321,0.36450385657305023,2.6002325851782026e-06,0.02965890094464611,0.001,1000.0
fish,Fin,0.01140624923851321,0.4059856079851809,3.222396782805042e-06,0.036755460850057424,0.001,1000.0
fish,Fin,0.01140624923851321,0.45218812069842806,3.995026782832164e-06,0.04556827119951925,0.001,1000.0
fish,Fin,0.01140624923851321,0.5036486330526273,4.9541022610671835e-06,0.05650772514281414,0.001,1000.0
fish,Fin,0.01140624923851321,0.5609655228978283,6.144326046693139e-06,0.0700837142912705,0.001,1000.0
fish,Fin,0.01140624923851321,0.6248052654739402,7.630498816474572e-06,0.08703537131488905,0.001,1000.0
fish,Fin,0.01140624923851321,0.695910183120226,1.0091847776743684e-05,0.11511013101867387,0.001,1000.0
fish,Fin,0.01140624923851321,0.7751070769275159,1.5232356122320636e-05,0.17374405042098176,0.001,1000.0
fish,Fin,0.01140624923851321,0.8633168407011585,2.6679742724198235e-05,0.30431579513161444,0.001,1000.0
fish,Fin,0.01140624923851321,0.9615651690249339,5.461771789279993e-05,0.6229833031240785,0.001,1000.0
fish,Fin,0.01140624923851321,1.0709944839382644,0.00012352977878499078,1.4090114452000062,0.001,1000.0
fish,Fin,0.01140624923851321,1.1928772189089618,0.0002706997883008877,3.087669254172687,0.001,1000.0
fish,Fin,0.01140624923851321,1.3286306145662679,0.0005192026522580209,5.922154856952089,0.001,1000.0
fish,Fin,0.01140624923851321,1.4798331982375295,0.0008620612604987488,9.83288559611559,0.001,1000.0
fish,Fin,0.01140624923851321,1.64824313891097,0.0012854141870040873,14.661754591689444,0.001,1000.0
fish,Fin,0.01140624923851321,1.8358186910542769,0.0017830557900717268,20.3379787477322,0.001,1000.0
fish,Fin,0.01140624923851321,2.0447409650077613,0.0023561916744177496,26.87530949211862,0.001,1000.0
fish,Fin,0.01140624923851321,2.277439288723997,0.003010516806455495,34.33870503116421,0.001,1000.0
fish,Fin,0.01140624923851321,2.536619455757801,0.0037542381264851757,42.821775771418785,0.001,1000.0
fish,Fin,0.01140624923851321,2.8252951879714354,0.004597136380638104,52.43608334099475,0.001,1000.0
fish,Fin,0.01140624923851321,3.1468231788003393,0.005550260422443773,63.307653717049284,0.001,1000.0
fish,Fin,0.01140624923851321,3.5049421245590535,0.0066258590440993895,75.57619967625452,0.001,1000.0
fish,Fin,0.01140624923851321,3.90381619763961,0.007837682216961217,89.3985568189224,0.001,1000.0
fish,Fin,0.01140624923851321,4.348083467104513,0.009201408081481439,104.95355392264696,0.001,1000.0
fish,Fin,0.01140624923851321,4.842909829704266,0.010734976862550488,122.44582166392343,0.001,1000.0
fish,Fin,0.01140624923851321,5.394049078424108,0.012459241830391531,142.11321764035532,0.001,1000.0
fish,Fin,0.01140624923851321,6.007909807031181,0.014398265709760364,164.23020728786503,0.001,1000.0
fish,Fin,0.01140624923851321,6.691629928581731,0.01657980235964061,189.11335803935023,0.001,1000.0
fish,Fin,0.01140624923851321,7.453159674382296,0.019035459292389298,217.12319305856462,0.001,1000.0
fish,Fin,0.01140624923851321,8.301354038508816,0.021800944470542163,248.6670062659903,0.001,1000.0
fish,Fin,0.01140624923851321,9.2460757428195,0.024916201900359654,284.20040895261866,0.001,1000.0
fish,Fin,0.01140624923851321,10.298309919728695,0.02842558581873098,324.22931659919215,0.001,1000.0
fish,Fin,0.01140624923851321,11.470291846261892,0.03237822830605099,369.31414196030096,0.001,1000.0
fish,Fin,0.01140624923851321,12.775649214671155,0.0368284401890026,420.0743678614402,0.001,1000.0
fish,Fin,0.01140624923851321,14.22956059391979,0.04183637395429377,477.1961085583172,0.001,1000.0
fish,Fin,0.01140624923851321,15.848931924611133,0.04746876909851913,541.4406113831433,0.001,1000.0
fish,Fin,0.013010252169108316,0.1,2.77507619986082e-07,0.003610444114868009,0.001,1000.0
fish,Fin,0.013010252169108316,0.11138033265330273,3.40654327203118e-07,0.0044319986994105,0.001,1000.0
fish,Fin,0.013010252169108316,0.12405578501960376,4.1720903754558887e-07,0.005427994785699089,0.001,1000.0
fish,Fin,0.013010252169108316,0.13817374603050078,5.095692217476229e-07,0.006629624072552847,0.001,1000.0
fish,Fin,0.013010252169108316,0.15389837796830147,6.203649050618675e-07,0.008071103851719835,0.001,1000.0
fish,Fin,0.013010252169108316,0.17141252532913134,7.525324220580835e-07,0.009790636576405515,0.001,1000.0
fish,Fin,0.013010252169108316,0.19091984092101327,9.161822021261061e-07,0.011919761482509604,0.001,1000.0
fish,Fin,0.013010252169108316,0.21264715391898104,1.1248716934292667e-06,0.01463486438940666,0.001,1000.0
fish,Fin,0.013010252169108316,0.2368471074127418,1.3873856131350197e-06,0.01805023668267956,0.001,1000.0
fish,Fin,0.013010252169108316,0.263801096116037,1.7153206310299497e-06,0.02231675396057365,0.001,1000.0
fish,Fin,0.013010252169108316,0.2938225383971009,2.1236581037495533e-06,0.02762932745075208,0.001,1000.0
fish,Fin,0.013010252169108316,0.3272605206770692,2.6312803299534912e-06,0.03423362062030945,0.001,1000.0
fish,Fin,0.013010252169108316,0.36450385657305023,3.2617750154545864e-06,0.04243651546996134,0.001,1000.0
fish,Fin,0.013010252169108316,0.4059856079851809,4.044500550902663e-06,0.05261997206534116,0.001,1000.0
fish,Fin,0.013010252169108316,0.45218812069842806,5.015937703067155e-06,0.06525861438144162,0.001,1000.0
fish,Fin,0.013010252169108316,0.5036486330526273,6.221391953893011e-06,0.08094187816300957,0.001,1000.0
fish,Fin,0.013010252169108316,0.5609655228978283,7.917262867796778e-06,0.10300558639915375,0.001,1000.0
fish,Fin,0.013010252169108316,0.6248052654739402,1.113883293524668e-05,0.14491902535712825,0.001,1000.0
fish,Fin,0.013010252169108316,0.695910183120226,1.7760687895905307e-05,0.23107102822255782,0.001,1000.0
fish,Fin,0.013010252169108316,0.7751070769275159,3.2641622850261304e-05,0.4246757444908277,0.001,1000.0
fish,Fin,0.013010252169108316,0.8633168407011585,6.869311768496895e-05,0.8937147833636802,0.001,1000.0
fish,Fin,0.013010252169108316,0.9615651690249339,0.00015237352181172398,1.982417942665655,0.001,1000.0
fish,Fin,0.013010252169108316,1.0709944839382644,0.00031635700536473906,4.115884415259208,0.001,1000.0
fish,Fin,0.013010252169108316,1.1928772189089618,0.0005743143429666723,7.471974426332166,0.001,1000.0
fish,Fin,0.013010252169108316,1.3286306145662679,0.0009205092498171107,11.976057464117332,0.001,1000.0
fish,Fin,0.013010252169108316,1.4798331982375295,0.0013481270386912218,17.53947272936604,0.001,1000.0
fish,Fin,0.013010252169108316,1.64824313891097,0.0018563046185855316,24.150991190478198,0.001,1000.0
fish,Fin,0.013010252169108316,1.8358186910542769,0.002449216485581287,31.86492409414979,0.001,1000.0
fish,Fin,0.013010252169108316,2.0447409650077613,0.0031341215461055585,40.77571164346895,0.001,1000.0
fish,Fin,0.013010252169108316,2.277439288723997,0.003920132967974766,51.00191844978672,0.001,1000.0
fish,Fin,0.013010252169108316,2.536619455757801,0.004817510352612521,62.677024514778815,0.001,1000.0
fish,Fin,0.013010252169108316,2.8252951879714354,0.005837382805453844,75.94582230657146,0.001,1000.0
