scenario,rho,mu,propulsion,speed,Re,eff,L,freq
bacteria,1000.0,1e-05,Fin,4.279294574006326e-09,2.139647287003163e-06,0.02,5e-06,100.0
bacteria,1000.0,1e-05,Flagella,5.6684892596925255e-05,0.028342446298462623,1.1754551022005622,5e-06,100.0
bacteria,1000.0,1.5135612484362071e-05,Fin,3.2118284769609764e-09,1.0610170154261673e-06,0.02,5e-06,100.0
bacteria,1000.0,1.5135612484362071e-05,Flagella,5.879151394713317e-05,0.019421584031659056,1.1836041048265673,5e-06,100.0
bacteria,1000.0,2.290867652767775e-05,Fin,2.2608326015488774e-09,4.934446123104035e-07,0.02,5e-06,100.0
bacteria,1000.0,2.290867652767775e-05,Flagella,5.9439327518520244e-05,0.01297310375977132,1.1893688560543847,5e-06,100.0
bacteria,1000.0,3.467368504525317e-05,Fin,1.5245292316283425e-09,2.1983951657267686e-07,0.02,5e-06,100.0
bacteria,1000.0,3.467368504525317e-05,Flagella,6.266089600938629e-05,0.009035799905260515,1.1928007567916799,5e-06,100.0
bacteria,1000.0,5.248074602497723e-05,Fin,1.0106553315319724e-09,9.628820168171486e-08,0.02,5e-06,100.0
bacteria,1000.0,5.248074602497723e-05,Flagella,7.118888306366712e-05,0.006782381011674845,1.194718967007857,5e-06,100.0
bacteria,1000.0,7.943282347242822e-05,Fin,6.678757892689596e-10,4.204029015163894e-08,0.02,5e-06,100.0
bacteria,1000.0,7.943282347242822e-05,Flagella,7.966755215034165e-05,0.0050147752948751035,1.1961903938610925,5e-06,100.0
bacteria,1000.0,0.00012022644346174131,Fin,4.412635731832939e-10,1.83513526840588e-08,0.02,5e-06,100.0
bacteria,1000.0,0.00012022644346174131,Flagella,8.772507580335706e-05,0.003648326993523397,1.1973005200958609,5e-06,100.0
bacteria,1000.0,0.00018197008586099826,Fin,2.9154025480835296e-10,8.010664319602846e-09,0.02,5e-06,100.0
bacteria,1000.0,0.00018197008586099826,Flagella,9.500929063159863e-05,0.002610574429914088,1.19812173104311,5e-06,100.0
bacteria,1000.0,0.0002754228703338166,Fin,1.9261882312820793e-10,3.4967833806747976e-09,0.02,5e-06,100.0
bacteria,1000.0,0.0002754228703338166,Flagella,0.00010125805037441311,0.0018382287979877429,1.198715967970477,5e-06,100.0
bacteria,1000.0,0.0004168693834703355,Fin,1.2726201947920906e-10,1.5264016083381312e-09,0.02,5e-06,100.0
bacteria,1000.0,0.0004168693834703355,Flagella,0.00010634827198430904,0.0012755586785839935,1.1991361811250831,5e-06,100.0
bacteria,1000.0,0.000630957344480193,Fin,8.408118968197613e-11,6.662985257049782e-10,0.02,5e-06,100.0
