scenario,rho,mu,propulsion,speed,Re,eff,L,freq
fish,1000.0,1e-05,Fin,0.12453131767791004,1245313.1767791004,0.9999991585988509,0.1,4.0
fish,1000.0,1e-05,Flagella,9.382936149434883e-07,9.382936149434883,0.09702061009574144,0.1,4.0
fish,1000.0,1.5135612484362071e-05,Fin,0.12452900071724864,822754.9486081946,0.9999986803942992,0.1,4.0
fish,1000.0,1.5135612484362071e-05,Flagella,1.420105861720572e-06,9.382546383159635,0.09702463223590684,0.1,4.0
fish,1000.0,2.290867652767775e-05,Fin,0.12452553006906439,543573.6539324542,0.9999979303852257,0.1,4.0
fish,1000.0,2.290867652767775e-05,Flagella,2.1492820678349616e-06,9.381956505598424,0.09703072000437823,0.1,4.0
fish,1000.0,3.467368504525317e-05,Fin,0.12452039808385001,359120.7508556893,0.9999967540565065,0.1,4.0
fish,1000.0,3.467368504525317e-05,Flagella,3.2527605234105938e-06,9.38106382164274,0.09703993424451858,0.1,4.0
fish,1000.0,5.248074602497723e-05,Fin,0.12451293159861841,237254.50003961223,0.9999949090252218,0.1,4.0
fish,1000.0,5.248074602497723e-05,Flagella,4.92254335310275e-06,9.37971299180838,0.09705388062918857,0.1,4.0
fish,1000.0,7.943282347242822e-05,Fin,0.1245022561463442,156739.05408833912,0.9999920150420205,0.1,4.0
fish,1000.0,7.943282347242822e-05,Flagella,7.448947357704937e-06,9.377669119731754,0.09707498949148267,0.1,4.0
fish,1000.0,0.00012022644346174131,Fin,0.12448720114988837,103543.9438824479,0.999987475505631,0.1,4.0
fish,1000.0,0.00012022644346174131,Flagella,1.1270720730326639e-05,9.374577177701534,0.0971069394003772,0.1,4.0
fish,1000.0,0.00018197008586099826,Fin,0.1244660479254713,68399.1807425685,0.9999803541982891,0.1,4.0
fish,1000.0,0.00018197008586099826,Flagella,1.7050416819795514e-05,9.369900958787172,0.09715529834618701,0.1,4.0
fish,1000.0,0.0002754228703338166,Fin,0.12443598822091764,45179.97654664603,0.9999691815130318,0.1,4.0
fish,1000.0,0.0002754228703338166,Flagella,2.578737928541052e-05,9.362831508565659,0.09722849438623142,0.1,4.0
fish,1000.0,0.0004168693834703355,Fin,0.12439227995360036,29839.629602458474,0.9999516493997606,0.1,4.0
fish,1000.0,0.0004168693834703355,Flagella,3.898625182434076e-05,9.352150426541227,0.09733928515042878,0.1,4.0
fish,1000.0,0.000630957344480193,Fin,0.12432722754259296,19704.53765698195,0.999924130173508,0.1,4.0
fish,1000.0,0.000630957344480193,Flagella,5.890634977929938e-05,9.336027275794484,0.09750698281341018,0.1,4.0
fish,1000.0,0.0009549925860214359,Fin,0.12422924038159593,13008.398410624673,0.9998809156706229,0.1,4.0
fish,1000.0,0.0009549925860214359,Flagella,8.892626159832834e-05,9.311722719105202,0.09776082327910525,0.1,4.0
fish,1000.0,0.001445439770745928,Fin,0.12408060602436977,8584.280613804975,0.9998130083835611,0.1,4.0
fish,1000.0,0.001445439770745928,Flagella,0.00013406686889612902,9.27516120764707,0.09814506835591892,0.1,4.0
fish,1000.0,0.002187761623949552,Fin,0.12385075423911168,5661.071703759238,0.9997061792008979,0.1,4.0
fish,1000.0,0.002187761623949552,Flagella,0.0002017189153485548,9.220333382774717,0.0987267314891263,0.1,4.0
fish,1000.0,0.003311311214825911,Fin,0.12347942484105921,3729.019014830082,0.9995377704048868,0.1,4.0
fish,1000.0,0.003311311214825911,Flagella,0.0003026041734932557,9.13849994341788,0.09960726860569652,0.1,4.0
fish,1000.0,0.005011872336272719,Fin,0.12281453834808147,2450.472200962274,0.9992710123038057,0.1,4.0
fish,1000.0,0.005011872336272719,Flagella,0.0004519315893288904,9.017220691319276,0.10094023295410876,0.1,4.0
fish,1000.0,0.007585775750291836,Fin,0.12115321665565507,1597.110442541017,0.9988401885819435,0.1,4.0
fish,1000.0,0.007585775750291836,Flagella,0.0006705351295978275,8.8393745303113,0.10295778997049634,0.1,4.0
fish,1000.0,0.01148153621496883,Fin,0.10592117698421709,922.5348855854709,0.9978973605614786,0.1,4.0
fish,1000.0,0.01148153621496883,Flagella,0.0009854200403092697,8.582649759224271,0.10600999394950665,0.1,4.0
fish,1000.0,0.017378008287493744,Fin,0.10057897375162157,578.771583530687,0.9965166382897831,0.1,4.0
fish,1000.0,0.017378008287493744,Flagella,0.0014285683856139287,8.22055302299523,0.110621055870417,0.1,4.0
fish,1000.0,0.026302679918953815,Fin,0.09410405660179934,357.7736447075402,0.9941417033217812,0.1,4.0
fish,1000.0,0.026302679918953815,Flagella,0.002032339390699025,7.7267388606835965,0.117563563386122,0.1,4.0
fish,1000.0,0.03981071705534969,Fin,0.0863586096058852,216.92301971305614,0.9899567859460415,0.1,4.0
fish,1000.0,0.03981071705534969,Flagella,0.002820483924463962,7.084735300151924,0.12793620922161023,0.1,4.0
fish,1000.0,0.060255958607435746,Fin,0.07726331356222674,128.2251836131145,0.9823625044427232,0.1,4.0
fish,1000.0,0.060255958607435746,Flagella,0.003797955459633983,6.303037155839565,0.14318535034573043,0.1,4.0
fish,1000.0,0.09120108393559097,Fin,0.06682956299708206,73.27715868407789,0.9680904922644488,0.1,4.0
fish,1000.0,0.09120108393559097,Flagella,0.004950887856180847,5.428540585852376,0.16492935583733084,0.1,4.0
fish,1000.0,0.13803842646028838,Fin,0.05517746697697749,39.97254126397278,0.9401616123061054,0.1,4.0
fish,1000.0,0.13803842646028838,Flagella,0.006269715462456265,4.542007340441518,0.19444923327993163,0.1,4.0
