velocity,reynolds,efficiency,thrust,drag,power,L,freq,rho,mu,propulsion,scale,environment
2.4420653419353852e-11,1.2210326709676929e-07,0.02,2.500000000000002e-20,1.1496862852801834e-21,6.105163354838468e-31,5e-06,10.0,1000.0,1e-06,Fin,bacteria,
0.27501179619749977,27501179.619749982,0.9999999707790037,0.19999999415273928,0.13055607331538285,0.05500235763143428,0.1,10.0,1000.0,1e-06,Fin,fish,
5.495582949854072e-07,0.0027477914749270364,1.1980144810895834,5.645520048729959e-16,3.2974559518821917e-17,3.102542372285969e-22,5e-06,10.0,1000.0,1e-06,Flagella,bacteria,
7.86416869880307e-08,7.864168698803071,0.1155492518314853,2.1791836382840636e-08,1.9613259377542134e-13,1.7137467757137324e-15,0.1,10.0,1000.0,1e-06,Flagella,fish,
2.4162228856447145e-11,8.295483268504499e-08,0.02,2.500000000000002e-20,1.656636598728151e-21,6.040557214111791e-31,5e-06,10.0,1000.0,1.4563484775012444e-06,Fin,bacteria,
0.2750115273780642,18883634.763701618,0.9999999560500356,0.19999999120540238,0.13055593594092305,0.05500230305699712,0.1,10.0,1000.0,1.4563484775012444e-06,Fin,fish,
7.903832292240892e-07,0.0027135786572874483,1.1980412642113902,8.222027938125344e-16,6.888259252317785e-17,6.498552992506189e-22,5e-06,10.0,1000.0,1.4563484775012444e-06,Flagella,bacteria,
1.1452958490733888e-07,7.864160719544615,0.11554936686653097,3.173653929703931e-08,4.1598710449561795e-13,3.634772672085361e-15,0.1,10.0,1000.0,1.4563484775012444e-06,Flagella,fish,
2.379238626116736e-11,5.608896084458186e-08,0.02,2.500000000000002e-20,2.375740552472954e-21,5.9480965652918446e-31,5e-06,10.0,1000.0,2.1209508879201924e-06,Fin,bacteria,
0.27501112775422015,12966407.158248557,0.9999999338968345,0.19999998677244105,0.13055572814017713,0.05500222191311813,0.1,10.0,1000.0,2.1209508879201924e-06,Fin,fish,
1.1304299964916929e-06,0.002664913183350969,1.1980793135567143,1.1974517349406669e-15,1.4293120633589117e-16,1.3536353605279496e-21,5e-06,10.0,1000.0,2.1209508879201924e-06,Flagella,bacteria,
1.667947401424005e-07,7.864149098990202,0.11554953439765446,4.62195276213528e-08,8.822866914536536e-13,7.709174099108043e-15,0.1,10.0,1000.0,2.1209508879201924e-06,Flagella,fish,
2.3267248777346802e-11,3.766336502741804e-08,0.02,2.500000000000002e-20,3.3836080515872556e-21,5.816812194336705e-31,5e-06,10.0,1000.0,3.0888435964774785e-06,Fin,bacteria,
0.275010534182985,8903349.28245015,0.999999900577126,0.19999998010500813,0.13055541449069719,0.055002101365264656,0.1,10.0,1000.0,3.0888435964774785e-06,Fin,fish,
1.6039793171419696e-06,0.002596407469402384,1.1981327780645379,1.7439846699409953e-15,2.937708720252849e-16,2.7973153399980206e-21,5e-06,10.0,1000.0,3.0888435964774785e-06,Flagella,bacteria,
2.429107431205191e-07,7.864132175469645,0.11554977838137225,6.731188064794017e-08,1.8712820244064907e-12,1.6350778949030838e-14,0.1,10.0,1000.0,3.0888435964774785e-06,Flagella,fish,
2.2530065571089134e-11,2.5042128257807846e-08,0.02,2.500000000000002e-20,4.771729306573031e-21,5.632516392772288e-31,5e-06,10.0,1000.0,4.498432668969444e-06,Fin,bacteria,
0.2750096537612272,6113454.9297195515,0.9999998504622453,0.19999997007678103,0.1305549425059832,0.05500192252307135,0.1,10.0,1000.0,4.498432668969444e-06,Fin,fish,
2.250469002226784e-06,0.002501392337992189,1.1982067387818203,2.5400058843327802e-15,5.957764589162468e-16,5.7162045081645526e-21,5e-06,10.0,1000.0,4.498432668969444e-06,Flagella,bacteria,
3.5376158220946445e-07,7.864107529045412,0.11555013370673259,9.802985600180789e-08,3.968882700501163e-12,3.4679196962965527e-14,0.1,10.0,1000.0,4.498432668969444e-06,Flagella,fish,
