sweep,scenario,propulsion,rho,mu,L,freq,speed,Re
mu,bacteria,Fin,1000.0,5.917685748188831e-05,5e-06,100.0,8.964868847272101e-10,7.57464085518219e-08
mu,bacteria,Fin,1000.0,7.257039612324216e-05,5e-06,100.0,7.310325678133722e-10,5.036713362924886e-08
mu,bacteria,Fin,1000.0,8.899530352885224e-05,5e-06,100.0,5.961164895040838e-10,3.349145774365628e-08
mu,bacteria,Fin,1000.0,0.00010913767146512738,5e-06,100.0,4.860978286558293e-10,2.2269937691091e-08
mu,bacteria,Fin,1000.0,0.00013383887531737563,5e-06,100.0,3.9638292648191964e-10,1.4808213441048665e-08
mu,bacteria,Fin,1000.0,0.00016413071953751284,5e-06,100.0,3.232281109433188e-10,9.846667091148759e-09
mu,bacteria,Fin,1000.0,0.00020127853758499385,5e-06,100.0,2.635718310273205e-10,6.547440034832877e-09
mu,bacteria,Fin,1000.0,0.00024683404670686486,5e-06,100.0,2.1492807533718405e-10,4.353695898208651e-09
mu,bacteria,Fin,1000.0,0.0003027001653763462,5e-06,100.0,1.7526113893495676e-10,2.894962721891069e-09
mu,bacteria,Fin,1000.0,0.0003712105009066361,5e-06,100.0,1.429163454247373e-10,1.9250040755269806e-09
mu,bacteria,Fin,1000.0,0.000455226827550731,5e-06,100.0,1.1654011089490268e-10,1.2800224398233134e-09
mu,bacteria,Fin,1000.0,0.0005582586268862694,5e-06,100.0,9.502931774818535e-11,8.511226980782968e-10
mu,bacteria,Fin,1000.0,0.0006846096838574657,5e-06,100.0,7.749134667278668e-11,5.659527501580025e-10
mu,bacteria,Fin,1000.0,0.0008395578619995113,5e-06,100.0,6.319078593719496e-11,3.763337156220434e-10
mu,bacteria,Fin,1000.0,0.0010295755673125127,5e-06,100.0,5.1528115108112615e-11,2.502395974810075e-10
mu,bacteria,Fin,1000.0,0.0012626001098748564,5e-06,100.0,4.2018388768383375e-11,1.663962660851822e-10
mu,bacteria,Fin,1000.0,0.001548365256585499,5e-06,100.0,3.426192662914218e-11,1.1063903198363416e-10
mu,bacteria,Fin,1000.0,0.0018988078244652632,5e-06,100.0,2.793898445929699e-11,7.35698054835146e-11
mu,bacteria,Fin,1000.0,0.0023285662984981964,5e-06,100.0,2.2783108732937762e-11,4.8920893400440606e-11
mu,bacteria,Fin,1000.0,0.0028555923019901092,5e-06,100.0,1.857847209407737e-11,3.252997999947284e-11
mu,bacteria,Fin,1000.0,0.0035019004614317128,5e-06,100.0,1.5149215215615186e-11,2.162999117545106e-11
mu,bacteria,Fin,1000.0,0.004294487988789272,5e-06,100.0,1.2354117728818892e-11,1.4383691095503376e-11
mu,bacteria,Fin,1000.0,0.005266462393484275,5e-06,100.0,1.007327554702897e-11,9.563607213346608e-12
mu,bacteria,Fin,1000.0,0.006458424430196978,5e-06,100.0,8.213429936176908e-12,6.35869477528779e-12
mu,bacteria,Fin,1000.0,0.007920164050192548,5e-06,100.0,6.697309373748794e-12,4.228011775580567e-12
mu,bacteria,Fin,1000.0,0.009712740198471168,5e-06,100.0,5.46096501352622e-12,2.8112380759375213e-12
mu,bacteria,Fin,1000.0,0.01191103133283008,5e-06,100.0,4.453770685586278e-12,1.8695990973134546e-12
mu,bacteria,Fin,1000.0,0.014606863203649888,5e-06,100.0,3.6330938257833623e-12,1.2436256077470294e-12
mu,bacteria,Fin,1000.0,0.01791284454622002,5e-06,100.0,2.9616309404900676e-12,8.26678011090939e-13
mu,bacteria,Fin,1000.0,0.021967070907932353,5e-06,100.0,2.4154012123744906e-12,5.497777155857145e-13
mu,bacteria,Fin,1000.0,0.026938893095901698,5e-06,100.0,1.970423824104728e-12,3.657210073721431e-13
mu,bacteria,Fin,1000.0,0.03303599120128339,5e-06,100.0,1.6053824936079764e-12,2.4297477315371273e-13
mu,bacteria,Fin,1000.0,0.04051304969235378,5e-06,100.0,1.3096190798478347e-12,1.6162928856168107e-13
mu,bacteria,Fin,1000.0,0.049682395947343874,5e-06,100.0,1.0671463712697005e-12,1.073968304991491e-13
mu,bacteria,Fin,1000.0,0.060927046613686746,5e-06,100.0,8.699707620962727e-13,7.139446357972989e-14
mu,bacteria,Fin,1000.0,0.07471670675868082,5e-06,100.0,7.100986465502501e-13,4.751940210933807e-14
mu,bacteria,Fin,1000.0,0.09162739011886731,5e-06,100.0,5.795364188543317e-13,3.162462764150026e-14
